Player,Position,Minutes,Impact,Fatigue_Score,Predicted Impact,Sub_Recommendation,Sub Early Probability
Ralf Fährmann,GK,1026.0,0.0,0.0,0.012186324,Monitor,0.291293549
Fallou Fall,DF,36.0,0.0,1.25,0.012517911,Monitor,0.162875752
Mamadou Fall,DF,27.0,0.0,2.333333333,0.012520926,Monitor,0.234435772
Cheikh Faye,FW,36.0,0.0,2.0,0.012517911,Monitor,0.211667895
Zouhair Feddal,DF,378.0,0.005291005,0.333333333,0.012403363,Monitor,0.176427275
Álvaro Fernández,GK,990.0,0.001010101,0.018181818,0.012198382,Monitor,0.28511758
Federico Fernández,DF,90.0,0.0,0.4,0.012499825,Monitor,0.126536035
Joaquín Fernández,DF,2160.0,0.001388889,0.383333333,0.011806506,Monitor,0.681170565
Alex Ferrari,DF,864.0,0.003472222,0.854166667,0.012240584,Sub Early,0.331311555
Salvador Ferrer,DF,135.0,0.007407407,0.933333333,0.012484753,Monitor,0.170800217
Fidel,"MF,FW",1710.0,0.019298246,1.073684211,0.011957227,Sub Early,0.651973062
Karol Fila,DF,45.0,0.0,0.8,0.012514897,Monitor,0.139607199
Roberto Firmino,"FW,MF",1215.0,0.02962963,1.325925926,0.012123021,Sub Early,0.54580236
Junior Firpo,DF,1368.0,0.007309942,0.796052632,0.012071776,Sub Early,0.490061821
Florian Flick,MF,513.0,0.001949318,0.561403509,0.012358147,Monitor,0.214715544
Alexis Flips,"FW,MF",1980.0,0.027272727,1.4,0.011866795,Sub Early,0.766330865
Seko Fofana,MF,3069.0,0.015314435,0.920821114,0.011502049,Sub Early,0.908119168
Wesley Fofana,DF,180.0,0.0,1.0,0.01246968,Monitor,0.174008061
Yahia Fofana,GK,990.0,0.0,0.036363636,0.012198382,Monitor,0.284915231
José Fonte,DF,2592.0,0.001929012,0.430555556,0.011661813,Monitor,0.793266748
Adam Forshaw,MF,477.0,0.016771488,0.79245283,0.012370204,Monitor,0.246925358
Fraser Forster,GK,1215.0,0.0,0.044444444,0.012123021,Monitor,0.348698262
Steven Fortes,DF,9.0,0.0,0.0,0.012526955,Monitor,0.098960517
Timothy Fosu-Mensah,DF,189.0,0.021164021,1.095238095,0.012466666,Monitor,0.210734832
Raphael Framberger,"DF,FW",180.0,0.005555556,1.2,0.01246968,Monitor,0.194162213
Ryan Fraser,FW,315.0,0.015873016,1.114285714,0.012424464,Monitor,0.232380563
Oscar Fraulo,"FW,MF",9.0,0.0,0.0,0.012526955,Monitor,0.098960517
Fred,MF,1251.0,0.027178257,1.54676259,0.012110963,Sub Early,0.575400147
Ryan Fredericks,DF,531.0,0.001883239,0.457627119,0.012352118,Monitor,0.211065283
Iván Fresneda,DF,1745.9999999999998,0.010309278,0.68556701,0.01194517,Sub Early,0.605740569
Michael Frey,FW,864.0,0.015046296,2.645833333,0.012240584,Sub Early,0.541903755
Manolo Gabbiadini,"FW,MF",2358.0,0.015267176,1.309160305,0.011740189,Sub Early,0.822679365
Adolfo Gaich,FW,729.0,0.010973937,1.765432099,0.0122858,Sub Early,0.39633933
Gauthier Gallon,GK,2664.0,0.000375375,0.043918919,0.011637698,Monitor,0.778782501
Silvère Ganvoula M'Boussy,"FW,MF",243.00000000000003,0.020576132,1.333333333,0.012448579,Monitor,0.239886542
Borja García,"MF,FW",675.0,0.008888889,0.506666667,0.012303887,Monitor,0.259310956
Carlos García,DF,27.0,0.074074074,0.0,0.012520926,Monitor,0.176526686
Joan García,GK,90.0,0.0,0.0,0.012499825,Monitor,0.108735993
Felix Garreta,DF,90.0,0.0,0.6,0.012499825,Monitor,0.136337257
Aleix Garrido,FW,9.0,0.0,0.0,0.012526955,Monitor,0.098960517
Sékou Gassama,FW,36.0,0.027777778,1.75,0.012517911,Monitor,0.235010297
David de Gea,GK,3420.0,0.000292398,0.0,0.011384486,Monitor,0.902033949
Dario Gebuhr,DF,18.0,0.0,0.0,0.01252394,Monitor,0.100006784
